シリーズ,鋼種,key,H,B,t,R,A,W,Ix,Iy,ix,iy,Zx,Zy,Zpx,Zpy
150x150,カクホット,□-150x150x16,150,150,16,,84.52,66.4,2500,2500,5.44,5.44,333,333,421,421
150x150,カクホット,□-150x150x19,150,150,19,,97.82,76.8,2750,2750,5.31,5.31,367,367,475,475
150x150,カクホット,□-150x150x22,150,150,22,,110.3,86.6,2950,2950,5.18,5.18,394,394,521,521
150x150,カクホット,□-150x150x25,150,150,25,,122,95.8,3100,3100,5.04,5.04,414,414,561,561
150x150,カクホット,□-150x150x30,150,150,30,,139.7,110,3250,3250,4.82,4.82,433,433,611,611
150x150,カクホット,□-150x150x33,150,150,33,,149.2,117,3280,3280,4.69,4.69,437,437,632,632
200x200,カクホット,□-200x200x13,200,200,13,,96.42,75.7,5590,5590,7.61,7.61,559,559,673,673
200x200,カクホット,□-200x200x16,200,200,16,,116.5,91.5,6520,6520,7.48,7.48,652,652,799,799
200x200,カクホット,□-200x200x19,200,200,19,,135.8,107,7340,7340,7.35,7.35,734,734,915,915
200x200,カクホット,□-200x200x22,200,200,22,,154.3,121,8050,8050,7.22,7.22,805,805,1020,1020
200x200,カクホット,□-200x200x25,200,200,25,,172,135,8650,8650,7.09,7.09,865,865,1120,1120
200x200,カクホット,□-200x200x30,200,200,30,,199.7,157,9420,9420,6.87,6.87,942,942,1250,1250
200x200,カクホット,□-200x200x33,200,200,33,,215.2,169,9770,9770,6.74,6.74,977,977,1320,1320
250x250,カクホット,□-250x250x16,250,250,16,,148.5,117,13500,13500,9.52,9.52,1080,1080,1300,1300
250x250,カクホット,□-250x250x19,250,250,19,,173.8,136,15300,15300,9.4,9.4,1230,1230,1500,1500
250x250,カクホット,□-250x250x22,250,250,22,,198.3,156,17000,17000,9.27,9.27,1360,1360,1680,1680
250x250,カクホット,□-250x250x25,250,250,25,,222,174,18500,18500,9.14,9.14,1480,1480,1860,1860
250x250,カクホット,□-250x250x30,250,250,30,,259.7,204,20600,20600,8.92,8.92,1650,1650,2120,2120
300x300,カクホット,□-300x300x16,300,300,16,,180.5,142,24200,24200,11.6,11.6,1610,1610,1920,1920
300x300,カクホット,□-300x300x19,300,300,19,,211.8,166,27700,27700,11.4,11.4,1850,1850,2220,2220
300x300,カクホット,□-300x300x22,300,300,22,,242.3,190,31000,31000,11.3,11.3,2070,2070,2510,2510
300x300,カクホット,□-300x300x25,300,300,25,,272,214,34000,34000,11.2,11.2,2270,2270,2790,2790
